state_name,district_name_raw,district_name_clean,lgd_district_code,year,fluoride_avg,ph_avg,hardness_avg,contamination_index,num_stations,match_confidence
ARUNACHAL PRADESH,EAST SIANG,East Siang,232.0,2015,0.25333333333333335,8.106666666666667,102.66666666666667,0,6,100.0
ARUNACHAL PRADESH,EAST SIANG,East Siang,232.0,2016,0.295,7.3,48.75,0,6,100.0
ARUNACHAL PRADESH,EAST SIANG,East Siang,232.0,2017,0.6499429197635515,7.955365891366213,314.63801180302147,0,6,100.0
ARUNACHAL PRADESH,EAST SIANG,East Siang,232.0,2018,0.065,6.5975,65.0,0,6,100.0
ARUNACHAL PRADESH,LOHIT,Lohit,234.0,2011,0.6499429197635515,7.955365891366213,314.63801180302147,0,3,100.0
ARUNACHAL PRADESH,LOHIT,Lohit,234.0,2012,0.6499429197635515,7.955365891366213,314.63801180302147,0,3,100.0
ARUNACHAL PRADESH,LOHIT,Lohit,234.0,2013,0.14,8.2,44.0,1,3,100.0
ARUNACHAL PRADESH,LOHIT,Lohit,234.0,2014,0.6499429197635515,7.955365891366213,314.63801180302147,0,3,100.0
ARUNACHAL PRADESH,LOHIT,Lohit,234.0,2015,0.6499429197635515,7.7,40.0,0,3,100.0
ARUNACHAL PRADESH,LOHIT,Lohit,234.0,2016,0.11,7.3525,35.0,0,3,100.0
ARUNACHAL PRADESH,LOHIT,Lohit,234.0,2017,0.6499429197635515,7.955365891366213,314.63801180302147,0,3,100.0
ARUNACHAL PRADESH,LOHIT,Lohit,234.0,2018,0.03,6.732,40.0,0,3,100.0
ARUNACHAL PRADESH,LOWER SUBANSIRI,Lower Subansiri,236.0,2011,0.6499429197635515,7.955365891366213,314.63801180302147,0,1,100.0
ARUNACHAL PRADESH,LOWER SUBANSIRI,Lower Subansiri,236.0,2012,0.6499429197635515,7.955365891366213,314.63801180302147,0,1,100.0
ARUNACHAL PRADESH,LOWER SUBANSIRI,Lower Subansiri,236.0,2013,0.6499429197635515,7.955365891366213,314.63801180302147,0,1,100.0
ARUNACHAL PRADESH,LOWER SUBANSIRI,Lower Subansiri,236.0,2014,0.6499429197635515,7.955365891366213,314.63801180302147,0,1,100.0
