country,state_name,state_code,district_name,district_code,department type,department,csir_spent_inr_crores,year,csir_spent_usd_millions
India,Jammu And Kashmir,1,Kathua,7,Other than Aspirational,"Education, Differently Abled, livelihood",0.0,2015,0.0
India,Jammu And Kashmir,1,Kathua,7,Other than Aspirational,Encouraging Sports,0.0,2015,0.0
India,Jammu And Kashmir,1,Kathua,7,Other than Aspirational,"Environment, Animal Welfare, Conservation of Resources",0.0,2015,0.0
India,Jammu And Kashmir,1,Kathua,7,Other than Aspirational,"Gender Equality, Women Empowerment, Old Age Homes, Reducing Inequalities",0.0,2015,0.0
India,Jammu And Kashmir,1,Kathua,7,Other than Aspirational,"Health, Eradicating Hunger, Poverty and Malnutrition, Safe Drinking water, Sanitation",0.0,2015,0.0
India,Jammu And Kashmir,1,Kathua,7,Other than Aspirational,Rural Development,0.0,2015,0.0
India,Jammu And Kashmir,1,Kathua,7,Other than Aspirational,"Education, Differently Abled, livelihood",0.0,2016,0.0
India,Jammu And Kashmir,1,Kathua,7,Other than Aspirational,"Environment, Animal Welfare, Conservation of Resources",0.0,2016,0.0
India,Jammu And Kashmir,1,Kathua,7,Other than Aspirational,"Gender Equality, Women Empowerment, Old Age Homes, Reducing Inequalities",0.0,2016,0.0
India,Jammu And Kashmir,1,Kathua,7,Other than Aspirational,"Health, Eradicating Hunger, Poverty and Malnutrition, Safe Drinking water, Sanitation",0.0,2016,0.0
India,Jammu And Kashmir,1,Kathua,7,Other than Aspirational,Rural Development,0.0,2016,0.0
India,Jammu And Kashmir,1,Kathua,7,Other than Aspirational,"Education, Differently Abled, livelihood",0.01,2017,0.0012048192771084338
India,Jammu And Kashmir,1,Kathua,7,Other than Aspirational,Encouraging Sports,0.0,2017,0.0
India,Jammu And Kashmir,1,Kathua,7,Other than Aspirational,"Environment, Animal Welfare, Conservation of Resources",0.0,2017,0.0
India,Jammu And Kashmir,1,Kathua,7,Other than Aspirational,"Gender Equality, Women Empowerment, Old Age Homes, Reducing Inequalities",0.0,2017,0.0
India,Jammu And Kashmir,1,Kathua,7,Other than Aspirational,"Health, Eradicating Hunger, Poverty and Malnutrition, Safe Drinking water, Sanitation",0.0,2017,0.0
India,Jammu And Kashmir,1,Kathua,7,Other than Aspirational,Rural Development,0.0,2017,0.0
India,Jammu And Kashmir,1,Kathua,7,Other than Aspirational,"Education, Differently Abled, livelihood",0.0,2018,0.0
India,Jammu And Kashmir,1,Kathua,7,Other than Aspirational,Encouraging Sports,0.0,2018,0.0
India,Jammu And Kashmir,1,Kathua,7,Other than Aspirational,"Environment, Animal Welfare, Conservation of Resources",0.0,2018,0.0
India,Jammu And Kashmir,1,Kathua,7,Other than Aspirational,"Gender Equality, Women Empowerment, Old Age Homes, Reducing Inequalities",0.0,2018,0.0
India,Jammu And Kashmir,1,Kathua,7,Other than Aspirational,"Health, Eradicating Hunger, Poverty and Malnutrition, Safe Drinking water, Sanitation",0.0,2018,0.0
India,Jammu And Kashmir,1,Kathua,7,Other than Aspirational,"Education, Differently Abled, livelihood",0.0,2019,0.0
India,Jammu And Kashmir,1,Kathua,7,Other than Aspirational,Encouraging Sports,0.01,2019,0.0012048192771084338
India,Jammu And Kashmir,1,Kathua,7,Other than Aspirational,"Environment, Animal Welfare, Conservation of Resources",0.15,2019,0.018072289156626505
India,Jammu And Kashmir,1,Kathua,7,Other than Aspirational,"Gender Equality, Women Empowerment, Old Age Homes, Reducing Inequalities",0.0,2019,0.0
India,Jammu And Kashmir,1,Kathua,7,Other than Aspirational,"Health, Eradicating Hunger, Poverty and Malnutrition, Safe Drinking water, Sanitation",0.36,2019,0.04337349397590361
India,Jammu And Kashmir,1,Kathua,7,Other than Aspirational,Rural Development,0.0,2019,0.0
India,Jammu And Kashmir,1,Kathua,7,Other than Aspirational,"Education, Differently Abled, livelihood",0.0,2020,0.0
India,Jammu And Kashmir,1,Kathua,7,Other than Aspirational,Encouraging Sports,0.0,2020,0.0
India,Jammu And Kashmir,1,Kathua,7,Other than Aspirational,"Environment, Animal Welfare, Conservation of Resources",0.09,2020,0.010843373493975902
India,Jammu And Kashmir,1,Kathua,7,Other than Aspirational,"Gender Equality, Women Empowerment, Old Age Homes, Reducing Inequalities",0.0,2020,0.0
India,Jammu And Kashmir,1,Kathua,7,Other than Aspirational,"Health, Eradicating Hunger, Poverty and Malnutrition, Safe Drinking water, Sanitation",0.06,2020,0.007228915662650602
India,Jammu And Kashmir,1,Kathua,7,Other than Aspirational,Rural Development,0.09,2020,0.010843373493975902
India,Jammu And Kashmir,1,Srinagar,13,Other than Aspirational,"Education, Differently Abled, livelihood",0.0,2014,0.0
India,Jammu And Kashmir,1,Srinagar,13,Other than Aspirational,"Environment, Animal Welfare, Conservation of Resources",0.0,2014,0.0
India,Jammu And Kashmir,1,Srinagar,13,Other than Aspirational,"Health, Eradicating Hunger, Poverty and Malnutrition, Safe Drinking water, Sanitation",0.0,2014,0.0
India,Jammu And Kashmir,1,Srinagar,13,Other than Aspirational,Rural Development,0.0,2014,0.0
India,Jammu And Kashmir,1,Srinagar,13,Other than Aspirational,"Education, Differently Abled, livelihood",0.0,2015,0.0
India,Jammu And Kashmir,1,Srinagar,13,Other than Aspirational,"Environment, Animal Welfare, Conservation of Resources",0.0,2015,0.0
India,Jammu And Kashmir,1,Srinagar,13,Other than Aspirational,"Health, Eradicating Hunger, Poverty and Malnutrition, Safe Drinking water, Sanitation",0.0,2015,0.0
India,Jammu And Kashmir,1,Srinagar,13,Other than Aspirational,Rural Development,0.0,2015,0.0
India,Jammu And Kashmir,1,Srinagar,13,Other than Aspirational,"Education, Differently Abled, livelihood",0.0,2016,0.0
India,Jammu And Kashmir,1,Srinagar,13,Other than Aspirational,"Environment, Animal Welfare, Conservation of Resources",0.0,2016,0.0
India,Jammu And Kashmir,1,Srinagar,13,Other than Aspirational,"Health, Eradicating Hunger, Poverty and Malnutrition, Safe Drinking water, Sanitation",0.0,2016,0.0
India,Jammu And Kashmir,1,Srinagar,13,Other than Aspirational,Rural Development,0.0,2016,0.0
India,Jammu And Kashmir,1,Srinagar,13,Other than Aspirational,"Education, Differently Abled, livelihood",0.0,2017,0.0
India,Jammu And Kashmir,1,Srinagar,13,Other than Aspirational,"Environment, Animal Welfare, Conservation of Resources",0.0,2017,0.0
India,Jammu And Kashmir,1,Srinagar,13,Other than Aspirational,"Health, Eradicating Hunger, Poverty and Malnutrition, Safe Drinking water, Sanitation",0.0,2017,0.0
India,Jammu And Kashmir,1,Srinagar,13,Other than Aspirational,Rural Development,0.01,2017,0.0012048192771084338
India,Jammu And Kashmir,1,Srinagar,13,Other than Aspirational,"Education, Differently Abled, livelihood",0.0,2018,0.0
India,Jammu And Kashmir,1,Srinagar,13,Other than Aspirational,"Environment, Animal Welfare, Conservation of Resources",0.0,2018,0.0
India,Jammu And Kashmir,1,Srinagar,13,Other than Aspirational,"Health, Eradicating Hunger, Poverty and Malnutrition, Safe Drinking water, Sanitation",0.35,2018,0.04216867469879518
India,Jammu And Kashmir,1,Srinagar,13,Other than Aspirational,Rural Development,0.0,2018,0.0
India,Jammu And Kashmir,1,Srinagar,13,Other than Aspirational,"Education, Differently Abled, livelihood",0.23,2019,0.027710843373493978
India,Jammu And Kashmir,1,Srinagar,13,Other than Aspirational,"Environment, Animal Welfare, Conservation of Resources",2.3,2019,0.27710843373493976
India,Jammu And Kashmir,1,Srinagar,13,Other than Aspirational,"Health, Eradicating Hunger, Poverty and Malnutrition, Safe Drinking water, Sanitation",0.28,2019,0.033734939759036145
India,Jammu And Kashmir,1,Srinagar,13,Other than Aspirational,Rural Development,0.0,2019,0.0
India,Jammu And Kashmir,1,Srinagar,13,Other than Aspirational,"Education, Differently Abled, livelihood",1.46,2020,0.17590361445783131
India,Jammu And Kashmir,1,Srinagar,13,Other than Aspirational,"Environment, Animal Welfare, Conservation of Resources",0.05,2020,0.006024096385542169
India,Jammu And Kashmir,1,Srinagar,13,Other than Aspirational,"Health, Eradicating Hunger, Poverty and Malnutrition, Safe Drinking water, Sanitation",0.35,2020,0.04216867469879518
India,Jammu And Kashmir,1,Srinagar,13,Other than Aspirational,Rural Development,0.0,2020,0.0
India,Jammu And Kashmir,1,Udhampur,14,Other than Aspirational,"Education, Differently Abled, livelihood",0.0,2014,0.0
India,Jammu And Kashmir,1,Udhampur,14,Other than Aspirational,"Health, Eradicating Hunger, Poverty and Malnutrition, Safe Drinking water, Sanitation",0.0,2014,0.0
India,Jammu And Kashmir,1,Udhampur,14,Other than Aspirational,Heritage Art And Culture,0.0,2014,0.0
India,Jammu And Kashmir,1,Udhampur,14,Other than Aspirational,"Education, Differently Abled, livelihood",0.0,2015,0.0
India,Jammu And Kashmir,1,Udhampur,14,Other than Aspirational,"Health, Eradicating Hunger, Poverty and Malnutrition, Safe Drinking water, Sanitation",0.0,2015,0.0
India,Jammu And Kashmir,1,Udhampur,14,Other than Aspirational,Heritage Art And Culture,0.0,2015,0.0
India,Jammu And Kashmir,1,Udhampur,14,Other than Aspirational,"Education, Differently Abled, livelihood",0.0,2016,0.0
India,Jammu And Kashmir,1,Udhampur,14,Other than Aspirational,"Health, Eradicating Hunger, Poverty and Malnutrition, Safe Drinking water, Sanitation",0.0,2016,0.0
India,Jammu And Kashmir,1,Udhampur,14,Other than Aspirational,Heritage Art And Culture,0.0,2016,0.0
India,Jammu And Kashmir,1,Udhampur,14,Other than Aspirational,"Education, Differently Abled, livelihood",0.4,2017,0.04819277108433735
India,Jammu And Kashmir,1,Udhampur,14,Other than Aspirational,"Health, Eradicating Hunger, Poverty and Malnutrition, Safe Drinking water, Sanitation",0.0,2017,0.0
India,Jammu And Kashmir,1,Udhampur,14,Other than Aspirational,Heritage Art And Culture,0.0,2017,0.0
India,Jammu And Kashmir,1,Udhampur,14,Other than Aspirational,"Education, Differently Abled, livelihood",0.0,2018,0.0
India,Jammu And Kashmir,1,Udhampur,14,Other than Aspirational,"Health, Eradicating Hunger, Poverty and Malnutrition, Safe Drinking water, Sanitation",0.0,2018,0.0
India,Jammu And Kashmir,1,Udhampur,14,Other than Aspirational,Heritage Art And Culture,0.0,2018,0.0
India,Jammu And Kashmir,1,Udhampur,14,Other than Aspirational,"Education, Differently Abled, livelihood",0.0,2019,0.0
